trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1.0}",30,7,-217.36307256103612,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 4}",1
2,False,"{'a': 0.95, 'e': 0.25}",30,0,-138.65968793980733,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 4}",0
3,False,"{'a': 0.95, 'e': 0.1111111111111111}",25,0,-56.57113487839798,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.0625}",25,0,-24.863341336067883,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0.04}",20,0,-32.43240018766816,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.027777777777777776}",25,0,21.461969436116984,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.95, 'e': 0.02040816326530612}",35,21,-46.47336533845089,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.95, 'e': 0.015625}",35,0,-46.25705630458369,"{0: 29, 1: 0, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0.012345679012345678}",20,3,25.855326190926554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.01}",25,11,-40.95779971796473,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.95, 'e': 0.008264462809917356}",20,0,27.7078362473082,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.006944444444444444}",25,0,34.161909404151686,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0.005917159763313609}",25,11,23.262693012343693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.00510204081632653}",30,0,13.650483122836672,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0.0044444444444444444}",20,0,21.890436721668845,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.95, 'e': 0.00390625}",20,3,13.617293787913658,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.95, 'e': 0.0034602076124567475}",35,18,27.16504160031477,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.0030864197530864196}",25,9,-13.31758175075279,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.95, 'e': 0.002770083102493075}",25,11,26.346111635631786,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.0025}",25,0,23.136759740303315,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.95, 'e': 0.0022675736961451248}",20,11,-37.41862816875793,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.95, 'e': 0.002066115702479339}",30,3,40.865368943952966,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.001890359168241966}",35,12,-7.934005098145306,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.95, 'e': 0.001736111111111111}",30,0,-2.116197718338512,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.95, 'e': 0.0016}",20,0,23.892365978054777,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.0014792899408284023}",25,19,9.253500241621163,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.95, 'e': 0.0013717421124828531}",20,10,15.00662813953284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.0012755102040816326}",20,12,16.279828876614403,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.0011890606420927466}",20,0,31.258965848660527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.0011111111111111111}",20,0,11.146926463935067,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.95, 'e': 0.001040582726326743}",20,13,10.027478561298595,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.0009765625}",25,0,14.62521926515068,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.95, 'e': 0.0009182736455463728}",35,21,24.54058535509354,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.0008650519031141869}",20,16,6.960820693930004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.0008163265306122449}",20,11,16.204687846547117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.0007716049382716049}",25,13,22.6032262746003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.0007304601899196494}",20,13,10.952091316074371,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.0006925207756232687}",20,11,15.369766771674373,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.0006574621959237344}",25,6,31.246563339472598,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.000625}",35,13,39.96846160427892,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.000594883997620464}",25,15,16.05980876364293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.0005668934240362812}",35,11,39.330033600154735,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.0005408328826392645}",20,12,14.536891140530333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.0005165289256198347}",25,0,38.92135518443224,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.95, 'e': 0.0004938271604938272}",20,5,-34.25305983974672,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.95, 'e': 0.0004725897920604915}",20,0,-7.246490300886302,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.95, 'e': 0.0004526935264825713}",25,0,24.525672676996013,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.95, 'e': 0.00043402777777777775}",20,10,8.58591338948229,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.00041649312786339027}",25,11,14.491986797286518,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.0004}",20,14,10.454694634997086,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.00038446751249519417}",25,2,32.21670752875603,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.0003698224852071006}",20,0,21.203560474506528,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.95, 'e': 0.000355998576005696}",20,10,20.52316870083929,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.0003429355281207133}",20,7,26.4180781291792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.00033057851239669424}",30,20,19.76983555646057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.00031887755102040814}",20,13,13.762389996797296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.0003077870113881194}",20,6,23.298020846136815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.00029726516052318666}",25,15,16.904519376550414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.0002872737719046251}",20,13,14.390621076547639,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.0002777777777777778}",20,0,14.396006656655587,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.0002687449610319806}",20,13,11.678017571056046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.00026014568158168577}",25,16,15.633896414683639,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.0002519526329050139}",30,0,47.85351573386376,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.95, 'e': 0.000244140625}",30,12,-5.693866094723551,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.95, 'e': 0.00023668639053254438}",30,18,10.34481948418927,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.0002295684113865932}",25,5,33.03182826819995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.00022276676319893073}",25,15,14.420529589307135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.00021626297577854672}",20,12,17.46308477320515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.95, 'e': 0.00021003990758244065}",20,0,32.60666860468113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.95, 'e': 0.00020408163265306123}",25,13,24.929647596628946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.00019837333862328903}",30,12,36.251370502102205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.00019290123456790122}",25,0,36.74348154612488,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.95, 'e': 0.00018765246762994934}",20,5,18.92174249676906,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.00018261504747991235}",25,13,25.642892025199842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.00017777777777777779}",20,14,11.790099334940113,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.00017313019390581717}",35,21,26.901267653004133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.00016866250632484398}",30,24,10.356865973687912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.0001643655489809336}",20,14,11.400297518787742,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.0001602307322544464}",35,16,35.805660159599505,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.95, 'e': 0.00015625}",25,7,31.012394799656885,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.00015241579027587258}",20,0,9.232304200865748,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
82,False,"{'a': 0.95, 'e': 0.000148720999405116}",20,13,13.935501826886448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.95, 'e': 0.00014515894904920887}",25,0,36.1488037394857,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.95, 'e': 0.0001417233560090703}",25,12,22.904465546472014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.0001384083044982699}",20,2,17.097895155464,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.00013520822065981613}",30,20,18.194259070801753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.0001321178491214163}",30,13,33.63455283581805,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.00012913223140495868}",20,8,20.68729431745213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.95, 'e': 0.00012624668602449185}",25,14,16.924103477129222,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.0001234567901234568}",30,8,37.93537703922529,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.95, 'e': 0.00012075836251660427}",20,9,21.317867561518195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.00011814744801512288}",25,13,23.439273458615233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.95, 'e': 0.00011562030292519366}",20,6,22.368876722239026,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.95, 'e': 0.00011317338162064282}",25,14,4.514302196200653,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.00011080332409972299}",25,0,43.66065892401073,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.95, 'e': 0.00010850694444444444}",20,11,-27.146985978891024,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.95, 'e': 0.00010628122010840685}",25,20,11.848286539685517,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.95, 'e': 0.00010412328196584757}",30,3,52.40911091542787,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.95, 'e': 0.00010203040506070809}",20,8,20.34857597624339,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.95, 'e': 0.0001}",20,2,29.370149230982236,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.95, 'e': 9.802960494069208e-05}",25,9,31.407235273702433,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,33.61074896589673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,12,32.87375384092322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,27,16.438884288527856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,5,30.185292148456067,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,17,22.00312419105519,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,3,24.243011761033717,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",35,21,26.69614715350607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,17,11.887776768719576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,14.795703790022657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,17,15.31845444310908,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
