trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,8,-143.95994280431714,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,15,-16.54866620990344,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.02519124490686,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.84772941874348,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.65564179047084,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.71571334408601,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.979262120942145,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.08872629647469,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.05622932109148,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.22353801145016,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.5511980634592,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.88672937462076,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.70417102669446,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.4907600013291,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-244.50856872007466,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.37549758951167,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.62169999693606,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.05425929926282,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.08083842079893,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.01214116411295,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.12336603998966,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.98343638697415,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-192.65466772694484,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.09250938221994,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.45337842877375,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.70147001450694,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.97551852069346,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.594882930857096,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,2,-188.25966438075406,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 4}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.7078306779522,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
